"Cliente",   "Servizio", "Decorrenza contratto", "Scadenza contratto", "Label", "Data inizio", "Data fine", "Stato",        "Note"
"A",         "1",         01-01-2018,             NA,                  "alpha",  02-2022,       04-2022,    PAGATA,         "nota numero uno"
"A",         "1",         01-01-2009,             NA,                  "beta",   05-2022,       08-2022,    PAGATA,         "altra nota"
"A",         "1",         01-05-2009,             NA,                  "gamma",  09-2022,       12-2023,    DA PAGARE,      "la mia nota più lunga"
"A",         "2",         01-01-2018,             31-12-2024,          "eta",    11-2022,       06-2023,    IN SCADENZA,    "sto annotando"
"A",         "2",         01-02-2018,             31-12-2024,          "alpha",  08-2023,       12-2023,    PAGATA,         ""
"B",         "1",         01-04-2020,             31-12-2024,          "beta",   11-2022,       06-2023,    DA PAGARE,      "qui non dico niente"
"B",         "2",         01-01-2021,             31-12-2024,          "rho",    08-2023,       12-2023,    PAGATA,         "qui pure"
"C",         "3",         01-01-2022,             31-12-2028,          "tex",    01-2022,       12-2022,    PAGATA,         "nota inutile"
"C",         "3",         01-01-2022,             31-12-2028,          "mu",     01-2023,       10-2023,    DA PAGARE,      "altra nota inutile"
"C",         "3",         01-01-2022,             31-12-2028,          "psi",    11-2023,       06-2024,    IN SCADENZA,    "ennesima sciocchezza"
"C",         "22",        01-01-2022,             31-12-2028,          "micron", 06-2023,       12-2023,    DA PAGARE,      "che scrivere?"
"H",         "44",        01-01-2023,             31-12-2030,          "psi",    04-2023,       05-2024,    DA PAGARE,      "boh"
